spotify_id,name,followers,popularity
6px2zTzjQAPLkuea5qQ2Gx,Boulevard des Airs,184089,48
3D4BVTTywiC0afapUVI8Cd,KsFreakWhatElse,37628,21
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,2087675,71
2olr4xM2nA4Sj2yhJnCoO6,Tornike Kipiani,951,16
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,938110,62
2r7sssoF6zZbPOG0U0YOem,Berg,60743,47
0tzSBCPJZmHTdOA3ZV2mN3,CL,1064466,60
68tIJ2KGC2bUs1cmIhJ9mW,Alain Clark,66131,45
11WOy8bNZ7WpdX89ILYNEW,Gio,4830,32
49801AhfB2xOoOqtRZXv4H,Klikkmonopolet,1505,44
1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,1834105,71
0233UJe9jt3aA8pYZO82q4,Kush Lmes,1,0
55gbXGYO6aftrjYTarHqIx,Vicky Singh,1908,0
3I5WNQR2o5jkAibQVWqdqs,Mammút,16091,24
3uCu2WgyG0Iw50ylOYDSpH,Maria Gadú,1298862,59
5f7VJjfbwm532GiveGC0ZK,Lil Baby,11530234,89
4MTNXrn0TAHwVwhYNeZjkF,Miniminter,170281,36
3fNxc8lFimZHQfRZHeskfj,Marco Carta,84478,30
3mvgs4aBKbw4eIqizZmyp4,Greifarnir,1424,20
1n9MS5jDsiVS3x3ArntcnW,Lin Hsin Yi,48805,35
1EUq1MC4vfYYxcVK9aJnXf,Della,221802,48
4lH0PRAS3yV8O05E5lTqwk,Nahaze,5707,28
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,27956268,82
5EvFsr3kj42KNv97ZEnqij,Shaggy,1795159,72
1GsQwQOSAhn76MaVz5NXSq,Los Flamers,17362,39
32ogthv0BdaSMPml02X9YB,The Cinematic Orchestra,577750,63
38VNGRG9Wz2FOBKAyA6HFv,Italian Somali,62084,41
4QrBoWLm2WNlPdbFhmlaUZ,KEVVO,448041,65
5aKVNeiiEzFHZHKiPx5X9p,flowerboii,1038,35
4Dcz7srpGyeBFxFpQTxlvC,Dante Spinetta,31515,38
7f4Wc2tQa8KLqRaAJDi50A,Yamkee Productions,1015,26
5uCXJWo3WoXgqv3T1RlAbh,Katie Melua,483771,58
3GsYUkkdxEno2sunDQcRHo,ACTART,50433,40
6mHcziq4XT3ejLdrEM6xwk,Canking,8253,51
04FsFHujpuqonrPXZrEJlK,Dev Negi,532150,64
0oXTS2yHUnuji1R7kc9J9a,Pascal Letoublon,88957,61
4HQzd6CvawmmIqU9nJ47E0,Prinssi Jusuf,1983,21
0uGApGjjFXKwUOAqYBeX7B,Deepend,42031,62
3gxVNZELvJxlMo257VwRvC,Ex Rated Lover,4,0
3k68C6mNMJL6OaAdWeW2ZF,Diego & Victor Hugo,2195484,71
7qhWa7UI1QNZNDnzYwAYZm,Vallis Alps,131451,46
16Nc36xAtNyQ7BMBcDsaLv,Likybo,43029,44
2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,955039,63
0L1f9i3L3fkMNENljDOsjG,Rocco Hunt,1443175,67
1lYjAYTw1QBVxIwVrZ1eTy,ADDA,141743,35
5RZjpmuD14JKXvB8Ry1G1u,Amanda Seyfried,85707,67
5q0uL3T6JoEVGylrtCnfCb,Enes Batur,624185,36
3q1xAVcUquRc7oCZYLLIvZ,Brianna,16878,47
3QLMLmISoZnFxUdzSoT6JB,Gökhan Özen,447893,49
2IHoZ3RrDJIikMRsYgHjhy,Kizo,782321,65
4PIW6aNu2AfeKQqkMGWVmS,Laura,1704,29
0HB4KdHq8OA8xyJyxJ5lc2,Shamma Hamdan,75487,33
6L7j9oK58YpVLZClqX0iF4,ARY,11347,59
5nLnIboxUroy6N5HBGRTMe,Huang Yali,1340,18
2Y8dw810oc7wqr6D0eWrJp,Wanton chulito,16081,53
7CMzEHSpUYD3RLQ13kF7UM,Croupie,806,33
1gs79u8PKkWAW1yfymbkTt,MILES,30472,45
5e8zwssZRVyImQCK1Q8eUR,HLH flokkurinn og Sigga Beinteins,11,0
54dqxLAclwu0QSaTwCyCaF,Neffa,282784,56
3iPdJaQD2j4rJXuDUmegE8,Mario,866,1
47ayujifWygPTXPOQHT6K8,Diljit Dosanjh,4,0
1Sl3idO2XzH3AVb6nOjOxs,Reda Rwena,66796,41
5ELPejPzr90MkvmpQEr3RU,Phuong Linh,35081,28
73c2MjCAFNyKYIs7nBlqG2,Marisela,1539543,66
1lEmHQmPVkmg8mQrQt1bH4,Empress In Road,0,0
5tSLi6cjbhBiEZzNZrOeMs,Piateed,1755,23
5zId1SmYy46E9v2KQsSTFR,Whales,31852,59
1bVvwhtHbD84F522mOiFBC,Milan Stankovic,36374,36
1PruL3P8slDEQAjSuOjuPd,Spiff TV,6179,46
7n3wIDVz0iAhBdZEFveZI7,Julie Maria,3289,20
4vIsAZx8AolYa6paJphDGY,Nirvair Pannu,243517,59
183DgO92lAqgpVVNKI7ZKF,Raj Ranjodh,52436,46
5GBXwBVQufRCmwI1bNRIUo,Only C,353673,47
3J7r4VsNmuWixU0nXvyPd8,Kalash,470056,61
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,144621,60
2C0Cu6wbLYQyXl8MDwH2JE,Nathaniel,9006,36
2eRNMtoi82UZUuaL6naDjA,Cœur De Pirate,451651,57
1l9YwTDjZXZgnAOlLKEuRP,Frank Friendly,292,5
751CmpzStQkZd5MNQtSgAB,Circus Mircus,2920,26
0MZ55DwuMQ1B2TXq9lcrE4,Kraftklub,762956,63
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,1688081,62
5GIcOzVFTNnzArytjmTkW8,Bizzey,368880,62
2zNBaFfKa0B5x3e9ieMscI,Oldzzies,0,0
2DIegoHjgAlIc6HYGGbu4h,Sophie Chen,11122,46
39yVoqm6sYFvvqF1RciUVf,Carlos Rivera,3727370,72
6ghiFYcwn2Vzl6K50U0UPz,Michael Ray,430842,56
1frSJ3BwjRHE9jgMRQV5wC,Zookeepers,8206,45
36PxHmbx5QrRTpuCaw4FuV,Youngn Lipz,78679,54
1SN71xW3yOVbPgsGFBMXTZ,Csaknekedkislány,23169,44
4vhqcVj9Z97OmzOY9ha2Ho,Enero,6910,20
1KQJOTeIMbixtnSWY4sYs2,Paky,491113,71
0fM4WhKpjJZc3a0eX947Tc,Sirius,1,25
49tMmj6UvVRDxN1Hn4wiBi,Marvel B,2302,0
688ekAE2qdQA7jJbmqcXGL,yccc,937,43
4Gu5S2cvAxuZvPgqs5zW7e,Sonora Palacios,53866,45
3lDpdwM8KILepMHqBWUhIA,The Struts,314006,58
5aINmhPWfAHvZ5qaMdBezq,Amatria,19055,39
52kkq3LdnSafdKRWjNqKBw,Rotjoch,3871,54
3nEiRzdQNmkUgoknNt9IRu,Niklas Strömstedt,37205,39
0xECfhlRzRRIIe2Co5HX6n,Squeezie,367412,52
3R8cwPSchx04GTEWkLgJfe,Chdry Saqib,1976,0
6SGCqG5HEr5gFZR9ct8wID,Matías Valdez,44663,58
6y5amJcTjeDgLXIjtQLMst,SAYGRACE,173252,57
72mJx5QexvdKQK1mi5CB4T,Talal Sam,6451,22
5rhznZjKfSxtKVqB0JZtpC,Bonde R300,575282,42
4nT1hsAySSK78ycor1bVn0,Dengaz,66996,32
6KGWY3YSxi1rBESkloCZTo,Ezad Lazim,5734,29
5SVGhU7cTodC79weaAmjYy,Karetus,39121,37
4mYFgEjpQT4IKOrjOUKyXu,Wheatus,126347,63
1svhqU5A39QYEmwbswohYD,Grend Kid,4321,33
78sIlhMniFgXlOrNWnPtIl,Tegi Pannu,196582,61
6jLm0BMPaQqUm0TyZqEvuP,Gypso Ariigantha,758,29
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,1412333,64
4IkfIjJ8uVC6anPFCBUhNE,Cap Gold,946,25
4N20eqmDGVuWlXaS6PR00n,Janice Mangion,329,8
78xUyw6FkVZrRAtziFdtdu,The Roots,1216070,59
4Sm7JCttzWMwHJtb3UJ8SY,Mocedades,584481,56
1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,90775,65
34h9cqQWoQI9E6UesG2dWz,Asala Maleh,18647,14
1jGH20nvJkL1AZfJDEPaHM,Yo Dawg Z,0,0
4KJ6jujcNPzOyhdNoiNftp,lovelytheband,360970,61
